p_date,job_title,company_name,company_score,city,state,est_wage
30d,"Data Analyst",Hulu,3.9,"Santa Monica",CA,$61856-$90999
9d,"Data Analyst",Arkestro,5,"San Francisco",CA,$64781-$94842
24h,"Data Analyst",Splunk,4.1,"San Diego",CA,$58499-$87771
1d,"Data Analyst","FocusKPI Inc.",3.3,"Los Angeles",CA,$54315-$83145
1d,"Data Analyst","Tripoint Solutions",4.5,"Silver Spring",MD,$65000-$75000
24h,"Data Analyst",Splunk,4.1,McLean,VA,$61026-$90957
1d,"Data Analyst","Tripoint Solutions",4.5,Arlington,VA,$65000-$75000
30d,"Data Analyst",Adobe,4.4,"New York",NY,$105200-$136600
6d,"Data Analyst","A-V Services Inc.",3.8,"New York",NY,$66969-$103057
12d,"Data Analyst","Student Leadership Network",4.4,"New York",NY,$70000-$80000
30d,"Data Analyst","Planned Parenthood Metropolitan NJ",3.5,Newark,NJ,$57000-$70000
30d,"Data Analyst","Excel Impact",5,"New York State",NY,$90000-$100000
30d,"Data Analyst","Excel Impact",5,Florida,FL,$90000-$100000
24h,"Data Analyst",Splunk,4.1,Miami,FL,$52581-$79423
30d,"Data Analyst","CAE Inc.",3.7,Tampa,FL,$54384-$78592
30d,"Data Analyst","Brooks Bell",3,Raleigh,NC,$56955-$81115
30d,"Data Analyst","MIAC Analytics",3.5,Charlotte,NC,$50000-$70000
20d,"Data Analyst","University of North Carolina at Chapel Hill",3.9,"Chapel Hill",NC,$74500-$90000
30d,"Data Analyst",Viasat,4.2,Atlanta,GA,$90000-$110000
24h,"Data Analyst",Splunk,4.1,Boston,MA,$62181-$90692
30d,"Data Analyst",Deloitte,4,Boston,MA,$61858-$84457
24h,"Data Analyst","Northeastern University",4.3,Boston,MA,$55866-$84089
30d,"Data Analyst","Geode Capital Management",3.6,Boston,MA,$62184-$91481
30d,"Data Analyst","Excel Impact",5,Michigan,MI,$90000-$100000
15d,"Data Analyst","Alteryx Inc.",4,"Ann Arbor",MI,$56569-$81250
30d,"Data Analyst","Excel Impact",5,Texas,TX,$90000-$100000
30d,"Data Analyst","Excel Impact",5,Ohio,OH,$90000-$100000
24h,"Data Analyst",Splunk,4.1,Chicago,IL,$58558-$85252
22d,"Data Analyst","Martin Brower",3.6,Rosemont,IL,$50254-$70424
30d,"Data Analyst",Luminex,3.3,Northbrook,IL,$59898-$78761
30d,"Data Analyst",Smartsheet,4.3,Seattle,WA,$65132-$92999
6d,"Python Developer with Data Science","Ventechsoft INC",5,"California City",CA,$87215-$138469
1d,"Data Scientist",Atlassian,4.7,"Mountain View",CA,$105100-$148697
4d,"Data Scientist",Wish,3.3,"San Francisco",CA,$126561-$180062
30d,"Data Scientist",Upgrade,3.8,"San Francisco",CA,$106265-$151911
1d,"Data Scientist","Scripps Health",4,"San Diego",CA,$78746-$116894
1d,"Data Scientist","FocusKPI Inc.",3.3,"San Bruno",CA,$90617-$130727
30d,"Data Scientist",Ezoic,4.5,Carlsbad,CA,$84670-$121135
30d,"Data Scientist","Lawrence Livermore National Laboratory",4.4,Livermore,CA,$96685-$144965
24h,"Data Scientist",Cutera,2.8,Brisbane,CA,$107178-$162013
6d,"Data Scientist",Americor,3.6,Irvine,CA,$75206-$110412
18d,"Data Scientist","Stanislaus County",3.6,Stanislaus,CA,$81078-$98571
8d,"Data Scientist","Cheetah Technologies",4.1,Pleasanton,CA,$150000-$160000
30d,"Data Scientist","Sealing Technologies Inc.",3.5,"Silver Spring",MD,$83710-$116100
30d,"Data Scientist",Deloitte,4,McLean,VA,$89351-$119403
5d,"Data Scientist",SYSTEMTEC,4.4,Richmond,VA,$110000-$120000
30d,"Data Scientist","Sealing Technologies Inc.",3.5,Arlington,VA,$83710-$116100
1d,"Data Scientist","Grant Thornton",3.9,Arlington,VA,$93375-$128655
4d,"Data Scientist",CyberCoders,4.1,Chantilly,VA,$140000-$160000
24h,"Data Scientist",Lumin,4.8,Charlottesville,VA,$86440-$116442
5d,"Data Scientist",Verizon,3.9,Ashburn,VA,$90839-$128319
29d,"Data Scientist","Calhoun International LLC",3.8,Quantico,VA,$76258-$115258
30d,"Data Scientist","BAE Systems",3.8,Korea,VA,$90554-$127516
2d,"Data Scientist",CyberCoders,4.1,"New York",NY,$110000-$130000
1d,"Data Scientist","Insight Global",4,"New York",NY,$130000-$150000
24h,"Data Scientist","Paramount Networks International",3.8,"New York",NY,$96027-$142378
11d,"Data Scientist","JPMorgan Chase Bank N.A.",3.7,"New York",NY,$94785-$138953
30d,"Data Scientist",Nike,4.2,"New York",NY,$100221-$141711
11d,"Data Scientist","Neuberger Berman",4,"New York",NY,$98079-$146082
30d,"Data Scientist",MARS,4.2,Newark,NJ,$93439-$129763
21d,"Data Scientist","TBC Corporation",3.1,"Palm Beach Gardens",FL,$86909-$123085
1d,"Data Scientist","Insight Global",4,Sunrise,FL,$130000-$150000
24h,"Data Scientist",CyberCoders,4.1,Miami,FL,$90000-$120000
1d,"Data Scientist","Trazi Ventures",5,Orlando,FL,$81590-$119412
30d,"Data Scientist","PGA Tour",4.4,"Ponte Vedra Beach",FL,$73448-$106391
30d,"Data Scientist","Simplex info systems Inc",3.7,Tampa,FL,$120000-$150000
30d,"Data Scientist","System One",4.1,Clearwater,FL,$68806-$100637
5d,"Data Scientist",Hertz,3.1,Estero,FL,$80855-$124945
5d,"Data Scientist",Verizon,3.9,"Lake Mary",FL,$80968-$122141
3d,"Data Scientist",CyberCoders,4.1,Charlotte,NC,$100000-$110000
13d,"Data Scientist","Insight Global",4,Charlotte,NC,$100000-$135000
30d,"Data Scientist","Endress+Hauser Inc.",4.1,Charlotte,NC,$74179-$110870
3d,"Data Scientist","QuEST Global Engineering",3.1,Charlotte,NC,$70383-$100726
30d,"Data Scientist",Lowe's,3.4,Charlotte,NC,$54000-$140000
30d,"Data Scientist","Hyperspace Ventures",5,Durham,NC,$85905-$124910
7d,"Data Scientist","Calhoun International LLC",3.8,"Fort Bragg",NC,$86180-$124019
7d,"Data Scientist","Insight Global",4,Atlanta,GA,$80000-$160000
30d,"Data Scientist",Visa,4,Atlanta,GA,$87172-$120729
6d,"Data Scientist",IBM,4.1,Atlanta,GA,$87175-$121338
30d,"Data Scientist","Loomis Armored US LLC",2.7,Atlanta,GA,$83901-$117871
30d,"Data Scientist","The RiverStone Group",4.4,Atlanta,GA,$74258-$104348
30d,"Data Scientist","Amazon Dev Center U.S. Inc.",3.8,Atlanta,GA,$88229-$125027
24h,"Data Scientist",Equifax,3.9,Atlanta,GA,$86490-$117124
30d,"Data Scientist","CBL Solutions",4.8,Atlanta,GA,$82425-$117843
24h,"Data Scientist",CoverMyMeds,3.9,Atlanta,GA,$78521-$109722
15d,"Data Scientist",Verizon,3.9,Alpharetta,GA,$79723-$111803
14d,"Data Scientist",DataSeers,4.1,Alpharetta,GA,$71953-$103529
18d,"Data Scientist","Shaw Industries Group Inc.",3.8,Dalton,GA,$70751-$109486
21d,"Data Scientist","BlueLinx Corporation",2.9,Marietta,GA,$77540-$107259
24h,"Data Scientist","Creative Financial Staffing",4.8,Boston,MA,$85000-$105000
30d,"Data Scientist","Northeastern University",4.3,Boston,MA,$97850-$133851
1d,"Data Scientist","Archway Health",4.1,Boston,MA,$71777-$95675
5d,"Data Scientist",MassMutual,3.9,Boston,MA,$90399-$122266
30d,"Data Scientist",Optum,3.7,Boston,MA,$84915-$112925
30d,"Data Scientist","Tagup Inc.",4.6,Boston,MA,$90085-$132627
30d,"Data Scientist",Comcentric,4.5,Boston,MA,$139000-$276000
30d,"Data Scientist","Schneider Electric",4.2,Andover,MA,$83619-$120369
30d,"Data Scientist",MIT,4.4,Cambridge,MA,$94908-$130229
14d,"Data Scientist","Groe Advisors",4.6,Cambridge,MA,$91238-$180000
30d,"Data Scientist","LG Energy Solution Michigan Inc.",3.1,Westborough,MA,$75661-$106412
15d,"Data Scientist",SharkNinja,3.2,Needham,MA,$82705-$117260
30d,"Data Scientist","Endress+Hauser Inc.",4.1,"Ann Arbor",MI,$70148-$104848
30d,"Data Scientist","Samsung Electronics",3.4,Austin,TX,$88567-$125731
30d,"Data Scientist","Neiman Marcus",3.4,Dallas,TX,$85543-$119726
30d,"Data Scientist",Deloitte,4,Houston,TX,$83815-$113502
30d,"Data Scientist",Ayasdi,3.9,Houston,TX,$85142-$127557
5d,"Data Scientist",Verizon,3.9,Irving,TX,$85364-$122194
15d,"Data Scientist",Verizon,3.9,Irving,TX,$81001-$114925
28d,"Data Scientist",PatientPoint,3.7,Cincinnati,OH,$75528-$109488
30d,"Data Scientist","FirstEnergy Corp",3.7,Akron,OH,$71754-$102382
3d,"Data Scientist",CyberCoders,4.1,Powell,OH,$100000-$110000
1d,"Data Scientist","The Greentree Group",4.4,Fairborn,OH,$68232-$99057
1d,"Data Scientist","SierTeK Ltd.",4,"Wright Patterson AFB",OH,$87860-$122197
30d,"Data Scientist",Emerson,3.8,Sidney,OH,$76856-$106118
4d,"Data Scientist","Venesco LLC",3.6,Dayton,OH,$77000-$95000
30d,"Data Scientist","LinQuest Corporation",3.8,Beavercreek,OH,$55539-$86735
30d,"Data Scientist","Westfield Insurance",3.7,"Westfield Center",OH,$85101-$119692
30d,"Data Scientist","Central Mutual Insurance Company",4.4,"Van Wert",OH,$73190-$106926
5d,"Data Scientist",Verizon,3.9,Philadelphia,PA,$87207-$123832
5d,"Data Scientist",Comcast,3.9,Philadelphia,PA,$83633-$117592
24h,"Data Scientist","Ex Libris",3.7,Philadelphia,PA,$77789-$116848
24h,"Data Scientist",Clarivate,3.5,Philadelphia,PA,$66163-$102385
13d,"Data Scientist",Arcadia.io,4.1,Pittsburgh,PA,$77201-$108989
11d,"Data Scientist","Carnegie Mellon University",4.5,Pittsburgh,PA,$86200-$119573
30d,"Data Scientist",IKEA,3.8,"Plymouth Meeting",PA,$87019-$122270
6d,"Data Scientist","MSA The Safety Company",3.1,"Cranberry Twp",PA,$73772-$105960
30d,"Data Scientist","Lucas Systems Inc.",4.4,Wexford,PA,$69447-$96362
30d,"Data Scientist","Endress Hauser Inc.",4.1,Chalfont,PA,$73222-$110854
30d,"Data Scientist",Cubesmart,3.4,Malvern,PA,$75605-$115377
3d,"Data Scientist",CyberCoders,4.1,Chicago,IL,$100000-$110000
30d,"Data Scientist",MARS,4.2,Chicago,IL,$94768-$130084
6d,"Data Scientist","BMO Harris Bank",3.7,Chicago,IL,$86344-$118337
1d,"Data Scientist",Humanity,3.8,Chicago,IL,$68948-$95827
4d,"Data Scientist",NielsenIQ,3.9,Chicago,IL,$88066-$118981
26d,"Data Scientist",TransUnion,4.1,Chicago,IL,$79567-$117601
1d,"Data Scientist","Winsight LLC",3.4,Chicago,IL,$82824-$114249
20d,"Data Scientist","Darwill Inc.",4.2,"Oakbrook Terrace",IL,$80000-$120000
30d,"Data Scientist","American Association of Neurological Surgeons",2.2,"Rolling Meadows",IL,$79120-$110243
30d,"Data Scientist","Argonne National Laboratory",4.5,Lemont,IL,$81103-$118624
30d,"Data Scientist",Ameren,4.1,Collinsville,IL,$75369-$102699
24h,"Data Scientist","Amazon.com Services LLC",3.8,Seattle,WA,$106801-$153620
21d,"Data Scientist","Boston Consulting Group",4.4,Seattle,WA,$105416-$158677
30d,"Data Scientist",Comcentric,4.5,Seattle,WA,$125000-$225000
30d,"Data Scientist",Starbucks,3.8,Seattle,WA,$60803-$96197
30d,"Data Scientist","Seattle Childrens Hospital",3.8,Seattle,WA,$95202-$138613
18d,"Data Scientist","Amazon.com Services LLC",3.8,Bellevue,WA,$119300-$160000
24h,"Data Scientist",Microsoft,4.4,Redmond,WA,$110217-$150832
30d,"Data Scientist",Exsilio,4,Redmond,WA,$87616-$123264
5d,"Data Scientist","Schweitzer Engineering Laboratories",4,Pullman,WA,$87961-$126996
28d,"Data Scientist",BlueScope,3.7,Kalama,WA,$83889-$126678
24h,"Sr Data Science Engineer",Adobe,4.4,"San Jose",CA,$117312-$161998
24h,"Sr Data Science Engineer",Adobe,4.4,Seattle,WA,$115954-$158038
1d,"Marketing Data Scientist",HP,4.2,"Palo Alto",CA,$93818-$128433
30d,"Data Scientist I",f5,4.2,"San Jose",CA,$109628-$145967
10d,"Data Scientist I","Stellar MLS",3.9,"Altamonte Springs",FL,$76237-$108219
24h,"Data Scientist I","Truist Financial",3.4,Atlanta,GA,$80781-$105954
20d,"Data Scientist I","Bank of America",4,Atlanta,GA,$89739-$123796
30d,"Data Scientist I","GovStrive LLC",3.2,Atlanta,GA,$81689-$114335
20d,"Data Scientist I","GM Financial",3.8,"Fort Worth",TX,$76246-$105894
30d,"Data Science & Analytics Specialist",Cuker,4.1,Carlsbad,CA,$80266-$114711
30d,"Deep Learning Scientist, Drug Discovery",NVIDIA,4.7,"Santa Clara",CA,$117429-$171383
1d,"Data Analyst, Customer Success",Square,4.2,"San Francisco",CA,$71421-$104771
14d,"Vice President, Data Science",Paramount+,3.8,Burbank,CA,$124283-$189258
30d,"Data Science Manager, Actuarial Data",Uber,4,"San Francisco",CA,$111380-$161908
30d,"Data Science Manager, Actuarial Data",Uber,4,"New York",NY,$97555-$138232
24h,"ChemBio Data Scientist","Lawrence Livermore National Laboratory",4.4,Livermore,CA,$92970-$139955
24h,"Data Scientist (Full-Time)","Stone resource group",4.6,"San Jose",CA,$160000-$250000
30d,"Predictive Modeling and Data Science Specialist [HYBRID]","Southern California Edison",4.1,Rosemead,CA,$64292-$93345
11d,"Manager of Data Science, Analytics",Sojern,4.3,"San Francisco",CA,$125129-$175652
30d,"Data Scientist - OPEN TO 100% REMOTE WORK (US ONLY)",Experian,4.4,"San Diego",CA,$55669-$84915
30d,"Lead Data Scientist - Customer Data Science",Hulu,3.9,"Santa Monica",CA,$114614-$176911
12d,"Product Science Manager (Data Science)",Indeed,4.4,"San Francisco",CA,$154000-$224000
30d,"Director, Data Science",Indeed,4.4,"San Francisco",CA,$253000-$367000
30d,"Director, Data Science","ManTech International Corporation",4.2,Sterling,VA,$96722-$137466
26d,"Director, Data Science",Visa,4,Atlanta,GA,$93964-$131391
6d,"Director, Data Science",Hawkeye,3.4,Dallas,TX,$89844-$127347
13d,"Director, Data Science","Samsung Electronics",3.4,Plano,TX,$109417-$155737
30d,"Director, Data Science",Indeed,4.4,Seattle,WA,$253000-$367000
4d,"Senior Data Scientist - Discovery and Communications",Indeed,4.4,"San Francisco",CA,$155000-$225000
22d,"LOGISTICS DATA SCIENTIST","Robertson's Ready Mix",3.4,Corona,CA,$64538-$96836
6d,"Lead Data Engineer",CarParts.com,4.2,Torrance,CA,$130000-$199000
30d,"Lead Data Engineer","Insight Global",4,Seattle,WA,$92975-$176622
13d,"Logistics Data Analyst (Hybrid Schedule)","Toyo Tires",3.9,Ontario,CA,$37037-$113836
1d,"Senior Data Analyst",CyberCoders,4.1,"South San Francisco",CA,$130000-$150000
1d,"Senior Data Analyst","Dominion Energy",4,Richmond,VA,$70000-$95000
4d,"Senior Data Analyst",CyberCoders,4.1,"New York",NY,$110000-$120000
1d,"Senior Data Analyst","Clever Care Health Plan",1.9,"New York",NY,$70524-$96316
30d,"Senior Data Analyst","Hire With Jarvis",4.9,"North Carolina",NC,$120000-$170000
24h,"Senior Data Analyst",Deloitte,4,Cincinnati,OH,$72300-$103695
1d,"Senior Data Analyst",Merck,4.1,"West Point",PA,$73083-$95567
21d,"Senior Data Analyst",Microsoft,4.4,Redmond,WA,$94194-$122968
2d,"Data Scientist, AI Engineer,",CyberCoders,4.1,Pasadena,CA,$140000-$180000
2d,"Mobile Data Analyst",CyberCoders,4.1,"Los Angeles",CA,$120000-$140000
29d,"Data Collection Specialist - Amazon Astro, Astro","Amazon.com Services LLC",3.8,Sunnyvale,CA,$53771-$77699
30d,"Data Science Associate","Pacific Investment Management Company LLC",3.7,"Newport Beach",CA,$68266-$103182
30d,"Data Science Associate","Castleton Commodities International",3.2,Houston,TX,$42080-$60669
30d,"Associate Data Scientist I","UST Global",4,"San Jose",CA,$82322-$118733
30d,"Associate Data Scientist I","UST Global",4,Bellevue,WA,$81988-$116393
15d,"Associate Data Scientist","SameSky Health",3.4,"Los Angeles",CA,$79800-$120910
7d,"Associate Data Scientist",Visa,4,Ashburn,VA,$82929-$112963
30d,"Associate Data Scientist","Avis Budget Group",3.4,Parsippany,NJ,$60000-$74000
30d,"Associate Data Scientist","Zurich Insurance",4,Schaumburg,IL,$76132-$108560
24h,"Director of Data Science Product Development, Global Analytics and AI- Remote",Experian,4.4,"Costa Mesa",CA,$105967-$157120
16d,"Data Scientist - Analytics, US Safety",TikTok,3.6,"Los Angeles",CA,$96951-$144419
21d,"Data Analyst (Remote)","Westport Properties Inc.",4.5,Irvine,CA,$70000-$95000
30d,"Data Analyst (Remote)",pulseData,5,"New York",NY,$60000-$80000
30d,"TPM - Data Science Products, DAV Applied Sciences","Amazon.com Services LLC",3.8,"Santa Monica",CA,$67440-$106023
30d,"Data and Policy Analyst - Statistical Programmer","Acumen LLC",3.5,"Los Angeles",CA,$56817-$79594
21d,"Data Scientist, NAMR People Team","Boston Consulting Group",4.4,"San Diego",CA,$101812-$159817
21d,"Data Scientist, NAMR People Team","Boston Consulting Group",4.4,"New York",NY,$99586-$152843
21d,"Data Scientist, NAMR People Team","Boston Consulting Group",4.4,Miami,FL,$87583-$137153
21d,"Data Scientist, NAMR People Team","Boston Consulting Group",4.4,Morrisville,NC,$87806-$134712
21d,"Data Scientist, NAMR People Team","Boston Consulting Group",4.4,Atlanta,GA,$96292-$148220
21d,"Data Scientist, NAMR People Team","Boston Consulting Group",4.4,Boston,MA,$95813-$145491
21d,"Data Scientist, NAMR People Team","Boston Consulting Group",4.4,Detroit,MI,$91989-$137563
21d,"Data Scientist, NAMR People Team","Boston Consulting Group",4.4,Dallas,TX,$86148-$131497
21d,"Data Scientist, NAMR People Team","Boston Consulting Group",4.4,Pittsburgh,PA,$81788-$127675
21d,"Data Scientist, NAMR People Team","Boston Consulting Group",4.4,Chicago,IL,$92409-$140857
30d,"Machine Learning Engineer - Risk",Uber,4,Sunnyvale,CA,$110878-$169204
1d,"REMOTE Machine Learning Operations Engineer","Insight Global",4,"Costa Mesa",CA,$79356-$117378
1d,"AMPLY Staff Data Scientist, Optimization",BP,3.9,"Mountain View",CA,$117266-$175655
4d,"Data Scientist - Deep Learning","Bosch Group",3.9,Sunnyvale,CA,$111747-$154823
30d,"Data Science Engineer, AV Behavior Test",NVIDIA,4.7,"Santa Clara",CA,$113398-$153243
30d,"Business Analyst","ManTech International Corporation",4.2,Herndon,VA,$61600-$102300
13d,"Business Analyst","Electrical Components International",3,Southfield,MI,$59936-$81424
19d,"Business Analyst","Amazon.com Services LLC",3.8,Seattle,WA,$72027-$96803
1d,"Business Analyst","Blueprint Technologies",3.7,Bellevue,WA,$66977-$89950
30d,"Senior Acquisition Data Analyst","ManTech International Corporation",4.2,"Silver Spring",MD,$85751-$120348
30d,"Senior Acquisition Data Analyst","ManTech International Corporation",4.2,Arlington,VA,$85751-$120348
19d,"Junior Data Scientist - Secret Clearance",Deloitte,4,Rosslyn,VA,$70464-$111236
24h,"Supervisor, Business Analytics (Business Intelligence & Data Science)","Navy Federal Credit Union",4.1,Vienna,VA,$101500-$142000
24h,"Supervisor, Business Analytics (Business Intelligence & Data Science)","Navy Federal Credit Union",4.1,Pensacola,FL,$101500-$142000
6d,"Data Architect","National Geospatial-Intelligence Agency",4,Springfield,VA,$96119-$164102
30d,"Data Architect","Macquarie Group Limited",4,Philadelphia,PA,$96011-$130021
30d,"Data Analytics Analyst",Deloitte,4,"Falls Church",VA,$72619-$96150
6d,"Data Analytics Analyst","BRE Hotels & Resorts",4,"New York",NY,$72561-$100433
